Python\/Django开发工程师|||1.4-2万\/月|||南京拾柴信息科技有限公司|||主要负责公司两款产品SeaTable和Seafile的开发。SeaTable是一款新一代的在线协同表格和信息管理系统，支持“文件”、“图片”、“单选项”、“多选项”、“协作人”等丰富的数据类型。它帮助用户方便的记录和管理各种零散的信息，既有协同表格的便利，又有信息管理系统的强大。()Seafile()是国人开发、国际认可的开源企业文件云存储解决方案，在Github上有8000+用户关注。Seafile提供Windows/Mac/Linux桌面客户端，以及Android/iOS客户端。每天有数以十万计的用户使用Seafile来同步、管理他们的文件。工作内容-参与seafile/seatableweb服务后端的功能设计和开发。-参与全文检索,后台事件调度，脚本运行平台等功能的设计和开发-参与部分前段页面的开发，主要涉及其中的逻辑部分职位要求-精通Python语言，熟悉Django框架-了解CSS,JavaScript等前端技术(我们使用React框架)-熟悉Git源码管理工具-英语读写能力良好职位福利-不搞996，晚6点半下班，但需要自己合理安排时间完成每周工作任务。-考核良好或者优秀，发放年薪10%的期权加分项-有过开源软件开发经验职能类别：Python开发工程师关键字：工具软件工具软件Pythondocker来源：拉勾微信分享
Python开发工程师|||1-1.5万\/月|||长城计算机软件与系统有限公司|||岗位职责对自动化部署、运维、流程引擎等开源软件运维工具平台进行软件功能及业务逻辑的二次开发和完善；整合多个软件，利用软件API进行软件间接口开发和完善；对运维平台进行前端页面及后台任务开发和完善；根据需求进行迭代开发和缺陷修改。负责项目实施、用户使用培训，能进行项目实施工作总结；负责平台运营及日常用户使用咨询应答，能及时按照项目计划完成实施工作；根据用户需求进行配置变更，保障系统的正常运行以及生产运营并形成对应的运维报告；及时并快速处理用户日常咨询及系统使用问题。人员要求具备IT运营生产支撑工作经验，熟悉日常工作重点，具备综合分析和解决生产运营问题的能力；对联通现有IT支撑产品模块架构和技术有一定了解，有敏捷开发或迭代开发，成功实施项目的经验；精通主流数据库应用并有开发经验，如Oracle、SQLServer、MySql、Redis等；精通Shell、Python、Ruby等开发语言；熟悉Linux、网络安全、分布式、缓存、消息、负载等相关知识，有相关运维或集成经验，具备系统性能排障的能力；对大规模数据存储、传输、处理等有丰富的经验；对系统架构设计有较为深刻的理解，熟悉各种架构的优缺点。熟练掌握Java或Python开发技术及其主流开发框架，具有Django、Spring、Struts、Hibernate等相关技术的开发经验和良好的开源软件学习更新能力；熟练掌握HTML、HTML5、Javascript编程语言，熟练掌握CSS、AJAX、XML、json等相关技术；熟悉API接口规范，熟悉软件开发流程，能独立进行开发及测试，能够编写符合规范的技术文档熟悉软件开发流程，能独立进行需求分析、设计开发及测试，能够编写符合规范的技术文档。对数据结构、算法设计、等有较为深刻的理解职能类别：Python开发工程师微信分享
Python高级开发工程师|||1.5-2万\/月|||进化时代科技（北京）有限责任公司|||职位信息1、根据产品或项目的要求、参于系统设计和开发2、参与量化平台、因子库及其他python项目的开发设计3、完成需求、设计、开发、上线、交付各阶段文档岗位要求：1、4年以上工作经验，本科。2、精通python语言,有扎实的编码能力,良好的编码习惯和学习能力3、精通SQL编写，熟练使用至少一种关系型数据库4、熟练掌握python，掌握numpy、pandas、selenium、scrapy等包的用法5、熟悉python其他扩展模块职能类别：Python开发工程师关键字：python微信分享
中级Python开发工程师（车联网）(J12383)|||1.4-2.1万\/月|||北京鼎盛阳光咨询有限公司|||工作职责:开发车联网相关安全检测、安全防护类产品任职资格:1.统招本科及以上学历2.精通PYHTON、C编程语言3.熟悉PYQT，桌面软件开发，有相关项目经验优先4.熟悉车辆业务，总线通信，嵌入式开发优先职能类别：Python开发工程师关键字：PYQT微信分享
Python开发工程师|||1-1.8万\/月|||字节跳动|||1、对标注项目需求进行分析，归纳标注规则、方法，梳理标注任务，优化业务流程；2、负责标注业务总结、分析，并提出和实施改善措施；3、负责针对模型预测结果，进行正确率统计、分析；4、领导交代的其他工作。【任职要求】1、模式识别、图像处理、人工智能、计算机、自动化等相关专业的本科及以上学历；一年以上工作经验，优秀应届毕业生也可考虑；2、熟练掌握python语言；3、文笔流畅，有良好的书写习惯和科研文档记录习惯；4、具备良好的交流沟通和团队协作能力，为人正直，有良好的职业操守，有事业心。职能类别：Python开发工程师关键字：python微信分享
前端\/后端高级软件开发工程师(Python\/C#)|||1-2万\/月|||中电文思海辉|||你需要做的是负责江森自控自有软件的开发工作。你将会怎么做完成新功能设计和开发；能够适应多任务的，敏捷开发的工作环境；诊断和处理来自客户的问题；维护当前的产品功能，并开发新客户需求的功能；撰写功能文档和设计文档；能够在不同的小组，项目中工作。我们期待的是要求本科以上学历，计算机、自动化或数学相关专业，能够独立完成数据库开发前端访问，后台维护，数据运算处理等项目;2年以上Python或C#等后端开发经验，熟悉SQLServer/MySQL存储过程，熟悉数据库性能调优/服务器性能调优;2年以上Web开发经验，熟悉HTML/CSS/JavaScript(Angular,React);熟悉Git等版本控制工具；思路清晰，思维敏捷，学习能力强，有良好的英文资料阅读能力；优先考虑的良好的沟通及人际技巧，与团队成员高效协作，能承受工作压力，有良好的团队合作精神；具有机器学习/人工智能/大数据相关开发经验优先。职能类别：高级软件工程师关键字：C#python微信分享
Python开发||||||招才招单信息科技（上海）有限公司|||工作内容1.负责参与银行互联网相关系统的建设；2.参与需求分析，能够快速理解业务需求并从技术角度给出建议；3.参与项目开发、测试、投产，出现问题能够及时向上级汇报；4.完成上级交办的其他工作。人员要求1.计算机相关专业，2年以上Python语言编程经验，有较强的程序设计能力。；2.熟悉Office系列办公软件；4.熟悉SpringDubbo、SpringCloud、VUE、Taro等框架技术中一种以上；5.熟悉Oracle、MySQL、MongoDB、SQLServer等数据库软件中一种以上；6.了解软件项目管理相关流程；7.逻辑清晰，具有良好的沟通能力、责任心、主动性和团队合作精神。职能类别：Python开发工程师微信分享
Python开发工程师|||1-2万\/月|||北京多铁克数字技术有限公司|||岗位要求：1.计算机相关专业，本科及以上学历，4年以上工作经验，其中2年以上Python项目研发经验；2.精通Python/Golang一门或多门语言的开发，代码风格良好；3.熟练掌握Django、Flask、Tornado等Web框架，研读过框架源代码者优先；4.熟练掌握前端JavaScript，熟悉前端Vue框架；5.熟练掌握Mysql/MongoDB/Redis或其它大型数据库开发以及相关工具；6.熟悉Linux下开发及相关知识、熟悉Git版本管理；7.工作认真，细心，有条理；积极性高，求知欲强；具有较强的沟通能力及团队合作精神。优先条件：1.熟悉Ansible,有自动化运维和监控相关开发经验；2.参与过开源社区项目。职能类别：Python开发工程师微信分享
Python开发工程师|||1.2-1.8万\/月|||上海科之锐人才咨询有限公司|||职位职责：1、负责医疗大数据相关产品的开发与优化；2、数据分析及问题解决规范定义；3、根据需求进行框架、流程设计，并完善相关技术文档等；4、与PM和QA进行需求和问题沟通，能够积极主动过响应业务诉求；岗位要求:1、计算机相关专业，本科及以上学历，工作年限2年及以上；2、熟悉Python编程语言，熟练使用Python标准库和流行第三方库，熟悉Django、Flask等至少一种Web框架，有后端服务开发经验；3、熟悉正则表达式，能够熟练利用正则根据既定规则进行开发；4、具备mysql、mongodb等一种主流的数据库使用经验；5、具备扎实的算法、数据结构、程序设计等基础知识；6、要求Linuxshell工作环境，具有docker使用经验；7、具有机器学习、深度学习工程化开发经验者优先；职能类别：Python开发工程师关键字：pythondjango微信分享
python开发工程师|||2-2.5万\/月|||北京天一环球科技有限公司|||岗位职责:1，负责需求分析和功能应用设计。2，负责根据项目进度及质量管理体系要求，完成项目开发工作，完成系统编码及自测等相关工作。3，高质量完成产品设计及相关文档编写。4，编写易于维护的高质量代码5，负责系统试运行期间的缺陷修复工作，保证系统正常运行。6，负责系统优化工作，参与项目技术攻关工作。7，完成上级领导交办的其他工作。任职资格:1，全日制本科及以上学历；有3年以上的python后端开发工作经验。2，熟练掌握Python语言,深入了解Django,fastapi或其他主流PythonWeb框架3，熟悉PostgreSQL、Redis等，具备数据库应用、设计能力4，熟悉Linux、Git、Nginx等工具的使用;5，思维清晰，能独立分析并解决复杂技术问题，做过GIS类系统优先职能类别：科研人员微信分享
python后端工程师|||1-1.5万\/月|||北京裕兴软件有限公司|||岗位职责：1.任熟悉python语法2.熟悉常见的python框架，如Flask，Django，Tornado3.至少熟练掌握一种关系型数据库的使用方法(MySQL,PostgreSQL)4.基础知识扎实，了解常用的Web开发相关技术，如HTTP协议等5.理解RESTFul风格接口规范6.熟悉版本管理工具git,了解Linux7.熟悉Redis、Mogodb等非关系型数据库8.熟悉常见的消息队列(RabbitMQ，ActiveMQ，Kafka)9.具有良好的编码风格与编程习惯，有良好的技术文档读写能力和沟通能力，良好的团队合作精神10.有较强的逻辑分析能力，能够将复杂业务逻辑转化为合理的技术实现任职要求：1.大专以上学历,计算机专业1年以上工作经验2.有教育单位或企业工作经历、教育项目经验者优先职能类别：Python开发工程师微信分享
